,GEO_ID,NAME,P1_001N,P1_006N,PCT,COUNTY,STATE,PCT_STATE
15,0500000US01031,"Coffee County, Alabama",53465,909,1.700177686336856,Coffee County,Alabama,1.52579106375263
36,0500000US01073,"Jefferson County, Alabama",674721,13109,1.9428771299544554,Jefferson County,Alabama,1.52579106375263
40,0500000US01081,"Lee County, Alabama",174241,8572,4.9196228212648,Lee County,Alabama,1.52579106375263
41,0500000US01083,"Limestone County, Alabama",103570,1869,1.80457661484986,Limestone County,Alabama,1.52579106375263
44,0500000US01089,"Madison County, Alabama",388153,10292,2.6515317413494164,Madison County,Alabama,1.52579106375263
48,0500000US01097,"Mobile County, Alabama",414809,8585,2.0696272260245077,Mobile County,Alabama,1.52579106375263
50,0500000US01101,"Montgomery County, Alabama",228954,7995,3.491967818863178,Montgomery County,Alabama,1.52579106375263
54,0500000US01109,"Pike County, Alabama",33009,588,1.7813323639007543,Pike County,Alabama,1.52579106375263
58,0500000US01117,"Shelby County, Alabama",223024,5152,2.310065284453691,Shelby County,Alabama,1.52579106375263
67,0500000US02013,"Aleutians East Borough, Alaska",3420,771,22.54385964912281,Aleutians East Borough,Alaska,6.003891512167452
68,0500000US02016,"Aleutians West Census Area, Alaska",5232,1513,28.91819571865443,Aleutians West Census Area,Alaska,6.003891512167452
69,0500000US02020,"Anchorage Municipality, Alaska",291247,27646,9.492286615827803,Anchorage Municipality,Alaska,6.003891512167452
72,0500000US02063,"Chugach Census Area, Alaska",7102,529,7.448606026471416,Chugach Census Area,Alaska,6.003891512167452
79,0500000US02110,"Juneau City and Borough, Alaska",32255,2101,6.513718803286313,Juneau City and Borough,Alaska,6.003891512167452
81,0500000US02130,"Ketchikan Gateway Borough, Alaska",13948,1129,8.094350444508173,Ketchikan Gateway Borough,Alaska,6.003891512167452
82,0500000US02150,"Kodiak Island Borough, Alaska",13101,2803,21.395313334859935,Kodiak Island Borough,Alaska,6.003891512167452
91,0500000US02220,"Sitka City and Borough, Alaska",8458,573,6.774651217781981,Sitka City and Borough,Alaska,6.003891512167452
104,0500000US04013,"Maricopa County, Arizona",4420568,203696,4.607914639023764,Maricopa County,Arizona,3.599663399380997
115,0500000US05007,"Benton County, Arkansas",284333,13721,4.8256797487453085,Benton County,Arkansas,1.7213543707438494
119,0500000US05015,"Carroll County, Arkansas",28260,567,2.006369426751592,Carroll County,Arkansas,1.7213543707438494
147,0500000US05071,"Johnson County, Arkansas",25749,926,3.5962561652879725,Johnson County,Arkansas,1.7213543707438494
171,0500000US05119,"Pulaski County, Arkansas",399125,10035,2.514249921703727,Pulaski County,Arkansas,1.7213543707438494
175,0500000US05127,"Scott County, Arkansas",9836,278,2.8263521756811714,Scott County,Arkansas,1.7213543707438494
177,0500000US05131,"Sebastian County, Arkansas",127799,5789,4.529769403516459,Sebastian County,Arkansas,1.7213543707438494
183,0500000US05143,"Washington County, Arkansas",245871,5718,2.3256097709774637,Washington County,Arkansas,1.7213543707438494
187,0500000US06001,"Alameda County, California",1682353,545261,32.4106177478805,Alameda County,California,15.392565821686018
