,GEO_ID,NAME,P1_001N,P1_006N,PCT,COUNTY,STATE,PCT_STATE,PCT_DIFF
67,0500000US02013,"Aleutians East Borough, Alaska",3420.0,771.0,22.54385964912281,Aleutians East Borough,Alaska,6.003891512167452,15.343859649122809
68,0500000US02016,"Aleutians West Census Area, Alaska",5232.0,1513.0,28.91819571865443,Aleutians West Census Area,Alaska,6.003891512167452,21.71819571865443
69,0500000US02020,"Anchorage Municipality, Alaska",291247.0,27646.0,9.492286615827803,Anchorage Municipality,Alaska,6.003891512167452,2.292286615827803
72,0500000US02063,"Chugach Census Area, Alaska",7102.0,529.0,7.448606026471416,Chugach Census Area,Alaska,6.003891512167452,0.24860602647141583
81,0500000US02130,"Ketchikan Gateway Borough, Alaska",13948.0,1129.0,8.094350444508173,Ketchikan Gateway Borough,Alaska,6.003891512167452,0.8943504445081727
82,0500000US02150,"Kodiak Island Borough, Alaska",13101.0,2803.0,21.395313334859935,Kodiak Island Borough,Alaska,6.003891512167452,14.195313334859936
187,0500000US06001,"Alameda County, California",1682353.0,545261.0,32.4106177478805,Alameda County,California,15.392565821686018,25.2106177478805
193,0500000US06013,"Contra Costa County, California",1165927.0,217823.0,18.682387490812033,Contra Costa County,California,15.392565821686018,11.482387490812034
196,0500000US06019,"Fresno County, California",1008654.0,113328.0,11.235567399722798,Fresno County,California,15.392565821686018,4.035567399722798
205,0500000US06037,"Los Angeles County, California",10014009.0,1499984.0,14.978856120460845,Los Angeles County,California,15.392565821686018,7.778856120460845
210,0500000US06047,"Merced County, California",281202.0,20715.0,7.366590564789724,Merced County,California,15.392565821686018,0.16659056478972367
214,0500000US06055,"Napa County, California",138019.0,10753.0,7.790956317608446,Napa County,California,15.392565821686018,0.5909563176084456
216,0500000US06059,"Orange County, California",3186989.0,706813.0,22.17808094097595,Orange County,California,15.392565821686018,14.97808094097595
217,0500000US06061,"Placer County, California",404739.0,35500.0,8.771084575491859,Placer County,California,15.392565821686018,1.5710845754918585
220,0500000US06067,"Sacramento County, California",1585055.0,281733.0,17.774335906325017,Sacramento County,California,15.392565821686018,10.574335906325018
222,0500000US06071,"San Bernardino County, California",2181654.0,182287.0,8.355449580914296,San Bernardino County,California,15.392565821686018,1.1554495809142962
223,0500000US06073,"San Diego County, California",3298634.0,410752.0,12.452184752840115,San Diego County,California,15.392565821686018,5.252184752840114
224,0500000US06075,"San Francisco County, California",873965.0,296505.0,33.92641581756706,San Francisco County,California,15.392565821686018,26.726415817567062
225,0500000US06077,"San Joaquin County, California",779233.0,139323.0,17.879504589769684,San Joaquin County,California,15.392565821686018,10.679504589769685
227,0500000US06081,"San Mateo County, California",764442.0,230242.0,30.118962589705955,San Mateo County,California,15.392565821686018,22.918962589705956
229,0500000US06085,"Santa Clara County, California",1936259.0,759030.0,39.200850712637106,Santa Clara County,California,15.392565821686018,32.0008507126371
234,0500000US06095,"Solano County, California",453491.0,72766.0,16.045742914412855,Solano County,California,15.392565821686018,8.845742914412856
237,0500000US06101,"Sutter County, California",99633.0,18234.0,18.301165276564994,Sutter County,California,15.392565821686018,11.101165276564995
239,0500000US06105,"Trinity County, California",16112.0,2222.0,13.790963257199603,Trinity County,California,15.392565821686018,6.590963257199603
242,0500000US06111,"Ventura County, California",843843.0,64923.0,7.693729757786698,Ventura County,California,15.392565821686018,0.4937297577866975
243,0500000US06113,"Yolo County, California",216403.0,30392.0,14.044167594719111,Yolo County,California,15.392565821686018,6.844167594719111
445,0500000US13117,"Forsyth County, Georgia",251283.0,45203.0,17.988881062387826,Forsyth County,Georgia,4.471920408577072,10.788881062387826
447,0500000US13121,"Fulton County, Georgia",1066710.0,80949.0,7.588660460668785,Fulton County,Georgia,4.471920408577072,0.3886604606687847
454,0500000US13135,"Gwinnett County, Georgia",957062.0,127152.0,13.285659654233479,Gwinnett County,Georgia,4.471920408577072,6.085659654233479
547,0500000US15001,"Hawaii County, Hawaii",200629.0,39607.0,19.741413255312043,Hawaii County,Hawaii,37.23718812509835,12.541413255312044
548,0500000US15003,"Honolulu County, Hawaii",1016508.0,436853.0,42.97585459238885,Honolulu County,Hawaii,37.23718812509835,35.775854592388846
549,0500000US15005,"Kalawao County, Hawaii",82.0,12.0,14.634146341463413,Kalawao County,Hawaii,37.23718812509835,7.434146341463413
550,0500000US15007,"Kauai County, Hawaii",73298.0,21102.0,28.789325766050915,Kauai County,Hawaii,37.23718812509835,21.589325766050916
551,0500000US15009,"Maui County, Hawaii",164754.0,44328.0,26.905568301831824,Maui County,Hawaii,37.23718812509835,19.705568301831825
605,0500000US17019,"Champaign County, Illinois",205865.0,24487.0,11.894688266582468,Champaign County,Illinois,5.891727052970426,4.694688266582468
611,0500000US17031,"Cook County, Illinois",5275541.0,413271.0,7.833717906845952,Cook County,Illinois,5.891727052970426,0.633717906845952
617,0500000US17043,"DuPage County, Illinois",932877.0,119672.0,12.82827210875603,DuPage County,Illinois,5.891727052970426,5.62827210875603
644,0500000US17097,"Lake County, Illinois",714342.0,59390.0,8.313944861144943,Lake County,Illinois,5.891727052970426,1.113944861144943
776,0500000US18157,"Tippecanoe County, Indiana",186251.0,13657.0,7.332578080117691,Tippecanoe County,Indiana,2.4752532153724807,0.1325780801176908
800,0500000US19021,"Buena Vista County, Iowa",20823.0,1907.0,9.15814243864957,Buena Vista County,Iowa,2.370540837125737,1.9581424386495696
1206,0500000US24027,"Howard County, Maryland",332317.0,66288.0,19.94721907094732,Howard County,Maryland,6.8144525761086205,12.74721907094732
1208,0500000US24031,"Montgomery County, Maryland",1062061.0,163507.0,15.395255074802671,Montgomery County,Maryland,6.8144525761086205,8.19525507480267
1226,0500000US25017,"Middlesex County, Massachusetts",1632002.0,210462.0,12.895940078504806,Middlesex County,Massachusetts,7.225320014446828,5.6959400785048055
1228,0500000US25021,"Norfolk County, Massachusetts",725981.0,88512.0,12.192054612999515,Norfolk County,Massachusetts,7.225320014446828,4.992054612999515
1230,0500000US25025,"Suffolk County, Massachusetts",797936.0,81140.0,10.168735337169899,Suffolk County,Massachusetts,7.225320014446828,2.968735337169899
