,GEO_ID,NAME,P1_001N,P1_006N,PCT,COUNTY,STATE,PCT_STATE,PCT_DIFF
15,0500000US01031,"Coffee County, Alabama",53465.0,909.0,1.700177686336856,Coffee County,Alabama,1.52579106375263,0.1743866225842261
36,0500000US01073,"Jefferson County, Alabama",674721.0,13109.0,1.9428771299544554,Jefferson County,Alabama,1.52579106375263,0.4170860662018254
40,0500000US01081,"Lee County, Alabama",174241.0,8572.0,4.9196228212648,Lee County,Alabama,1.52579106375263,3.39383175751217
41,0500000US01083,"Limestone County, Alabama",103570.0,1869.0,1.80457661484986,Limestone County,Alabama,1.52579106375263,0.27878555109723013
44,0500000US01089,"Madison County, Alabama",388153.0,10292.0,2.6515317413494164,Madison County,Alabama,1.52579106375263,1.1257406775967864
48,0500000US01097,"Mobile County, Alabama",414809.0,8585.0,2.0696272260245077,Mobile County,Alabama,1.52579106375263,0.5438361622718777
50,0500000US01101,"Montgomery County, Alabama",228954.0,7995.0,3.491967818863178,Montgomery County,Alabama,1.52579106375263,1.966176755110548
54,0500000US01109,"Pike County, Alabama",33009.0,588.0,1.7813323639007543,Pike County,Alabama,1.52579106375263,0.2555413001481244
58,0500000US01117,"Shelby County, Alabama",223024.0,5152.0,2.310065284453691,Shelby County,Alabama,1.52579106375263,0.7842742207010611
67,0500000US02013,"Aleutians East Borough, Alaska",3420.0,771.0,22.54385964912281,Aleutians East Borough,Alaska,6.003891512167452,16.539968136955356
68,0500000US02016,"Aleutians West Census Area, Alaska",5232.0,1513.0,28.91819571865443,Aleutians West Census Area,Alaska,6.003891512167452,22.914304206486978
69,0500000US02020,"Anchorage Municipality, Alaska",291247.0,27646.0,9.492286615827803,Anchorage Municipality,Alaska,6.003891512167452,3.488395103660351
72,0500000US02063,"Chugach Census Area, Alaska",7102.0,529.0,7.448606026471416,Chugach Census Area,Alaska,6.003891512167452,1.4447145143039641
79,0500000US02110,"Juneau City and Borough, Alaska",32255.0,2101.0,6.513718803286313,Juneau City and Borough,Alaska,6.003891512167452,0.509827291118861
