,year,B07204_001E,B07204_002E,B07204_003E,B07204_004E,B07204_005E,B07204_006E,B07204_007E,B07204_008E,B07204_009E,B07204_010E,B07204_011E,same_city_pct,elsewhere_pct,in_manhattan_pct,in_nyc_pct,in_ny_pct,diff_state_pct
0,2010,23053,19558,3094,2044,1632,412,1050,0,1050,232,818,66.06334841628959,33.93665158371041,79.84344422700586,20.15655577299413,22.095238095238095,77.90476190476191
1,2011,22065,18840,2881,2032,1592,440,849,0,849,241,608,70.53106560222146,29.46893439777855,78.34645669291339,21.653543307086615,28.38633686690224,71.61366313309776
2,2012,21165,18146,2594,1897,1524,373,697,0,697,232,465,73.13030069390902,26.86969930609098,80.33737480231945,19.662625197680548,33.28550932568149,66.71449067431851
3,2013,21757,18866,2529,1874,1349,525,655,0,655,279,376,74.10043495452749,25.899565045472517,71.98505869797225,28.014941302027747,42.595419847328245,57.404580152671755
4,2014,20904,18106,2374,1853,1206,647,521,0,521,170,351,78.05391743892164,21.94608256107835,65.08364813815435,34.916351861845655,32.629558541266796,67.37044145873321
5,2015,21252,18228,2558,1838,1125,713,720,0,720,194,526,71.85301016419078,28.146989835809226,61.20783460282916,38.792165397170834,26.944444444444443,73.05555555555556
6,2016,21419,18399,2566,1822,1076,746,744,0,744,221,523,71.00545596258769,28.994544037412318,59.055982436882545,40.944017563117455,29.70430107526882,70.29569892473118
7,2017,22410,19464,2653,1866,1241,625,787,0,787,209,578,70.33546928006031,29.66453071993969,66.5058949624866,33.4941050375134,26.55654383735705,73.44345616264295
8,2018,21275,18153,2865,1949,1282,667,916,0,916,309,607,68.02792321116928,31.972076788830716,65.77732170343766,34.22267829656234,33.73362445414847,66.26637554585153
9,2019,20619,17523,2856,1785,1220,565,1071,0,1071,387,684,62.5,37.5,68.34733893557423,31.652661064425768,36.134453781512605,63.86554621848739
